question,answer
"Generate a GAML code snippet defining a species named ""Fish,"" featuring attributes like ""fishID,"" ""depth,"" and ""swimDirection,"" alongside an initialization block and an action called ""Swim.""","
species Fish {
    int fishID;
    float depth, swimDirection;
    
    init {
        fishID <- rnd(1, 1000);
        depth <- rnd(1, 100);
        swimDirection <- rnd(0, 360);
    }
    
    action Swim {
        depth <- depth + rnd(-5, 5);
        swimDirection <- rnd(0, 360);
    }
}
"
"Develop a GAML code snippet for a species named ""Bird,"" including attributes such as ""birdID,"" ""altitude,"" and ""flightDirection,"" along with an initialization block and an action named ""Fly.""","
species Bird {
    int birdID;
    float altitude, flightDirection;
    
    init {
        birdID <- rnd(1, 1000);
        altitude <- rnd(1, 50);
        flightDirection <- rnd(0, 360);
    }
    
    action Fly {
        altitude <- altitude + rnd(-2, 2);
        flightDirection <- rnd(0, 360);
    }
}
"
"Create a GAML code snippet for a species named ""Vehicle,"" containing attributes like ""vehicleID,"" ""speed,"" and ""position,"" alongside an initialization block and an action named ""MoveForward.""","
species Vehicle {
    int vehicleID;
    float speed, position;
    
    init {
        vehicleID <- rnd(1, 1000);
        speed <- rnd(30, 120);
        position <- rnd(-100, 100);
    }
    
    action MoveForward {
        position <- position + speed * rnd(0.8, 1.2);
    }
}
"
"Develop a GAML code snippet for a species named ""Human,"" with attributes like ""humanID,"" ""age,"" and ""location,"" along with an initialization block and an action named ""Walk.""","
species Human {
    int humanID;
    int age;
    float location;
    
    init {
        humanID <- rnd(1, 1000);
        age <- rnd(1, 100);
        location <- rnd(-10, 10);
    }
    
    action Walk {
        location <- location + rnd(-2, 2);
    }
}
"
"Generate a GAML code snippet for a species named ""Building,"" featuring attributes such as ""buildingID,"" ""height,"" and ""location,"" alongside an initialization block and an action named ""Collapse.""","
species Building {
    int buildingID;
    float height, location;
    
    init {
        buildingID <- rnd(1, 1000);
        height <- rnd(10, 100);
        location <- rnd(-100, 100);
    }
    
    action Collapse {
        height <- 0;
    }
}
"
"Create a GAML code snippet introducing a species named ""Plant,"" including attributes like ""plantID,"" ""growthRate,"" and ""nutrientLevel,"" along with an initialization block and an action named ""Grow.""","
species Plant {
    int plantID;
    float growthRate, nutrientLevel;
    
    init {
        plantID <- rnd(1, 1000);
        growthRate <- rnd(0.1, 1.0);
        nutrientLevel <- rnd(0, 100);
    }
    
    action Grow {
        nutrientLevel <- nutrientLevel + growthRate * rnd(0.8, 1.2);
    }
}
"
"Develop a GAML code snippet for a species named ""Insect,"" comprising attributes like ""insectID,"" ""wingColor,"" and ""position,"" along with an initialization block and an action named ""Fly.""","
species Insect {
    int insectID;
    string wingColor;
    float position;
    
    init {
        insectID <- rnd(1, 1000);
        wingColor <- choose(""Red"", ""Green"", ""Blue"");
        position <- rnd(-10, 10);
    }
    
    action Fly {
        position <- position + rnd(-2, 2);
    }
}
"
"generate a GAML code snippet for the global section of a model, defining attributes such as ""nb_preys_init,"" ""prey_max_energy,"" ""prey_max_transfer,"" and ""prey_energy_consum,"" along with an initialization block that creates a specified number of preys?","
global {
        int nb_preys_init <- 200;
        float prey_max_energy <- 1.0;
        float prey_max_transfer <- 0.1;
        float prey_energy_consum <- 0.05;
        
        init {
                create prey number: nb_preys_init;
        }
}
"
"Develop a GAML code snippet for the global section of a model, defining attributes like ""nb_species_init,"" ""species_max_energy,"" ""species_max_transfer,"" and ""species_energy_consumption,"" along with an initialization block that creates a specific number of species.","
global {
        int nb_preys_init <- 200;
        float prey_max_energy <- 1.0;
        float prey_max_transfer <- 0.1;
        float prey_energy_consum <- 0.05;
        
        init {
                create prey number: nb_preys_init;
        }
}
"
"Provide instructions for generating a GAML code snippet in the global section of a model, introducing variables such as ""nb_cells_init,"" ""cell_max_energy,"" ""cell_max_transfer,"" and ""cell_energy_consumption,"" along with an initialization block creating a designated number of cells.","
global {
        int nb_preys_init <- 200;
        float prey_max_energy <- 1.0;
        float prey_max_transfer <- 0.1;
        float prey_energy_consum <- 0.05;
        
        init {
                create prey number: nb_preys_init;
        }
}
"
"Direct the generation of a GAML code snippet for the global section of a model, defining parameters like ""nb_agents_init,"" ""agent_max_energy,"" ""agent_max_transfer,"" and ""agent_energy_consumption,"" along with an initialization block creating a specified number of agents.","
global {
        int nb_preys_init <- 200;
        float prey_max_energy <- 1.0;
        float prey_max_transfer <- 0.1;
        float prey_energy_consum <- 0.05;
        
        init {
                create prey number: nb_preys_init;
        }
}
"
,"
global {
    int nb_entities_init <- 100;
    float entity_max_energy <- 10.0;
    float entity_max_transfer <- 1.0;
    float entity_energy_consumption <- 0.1;

    init {
        create entity number: nb_entities_init;
    }
}
"
"generate a GAML code snippet for the global section of a model, defining variables such as ""nb_agents_init,"" ""agent_max_energy,"" ""agent_max_transfer,"" and ""agent_energy_consumption,"" along with an initialization block that creates a predetermined number of agents","
global {
    int nb_agents_init <- 150;
    float agent_max_energy <- 8.0;
    float agent_max_transfer <- 0.8;
    float agent_energy_consumption <- 0.15;

    init {
        create agent number: nb_agents_init;
    }
}
"
"produce a GAML code snippet for the global section of a model, defining attributes such as ""nb_cells_init,"" ""cell_max_energy,"" ""cell_max_transfer,"" and ""cell_energy_consumption,"" accompanied by an initialization block creating a specific number of cells","
global {
    int nb_cells_init <- 120;
    float cell_max_energy <- 12.0;
    float cell_max_transfer <- 1.2;
    float cell_energy_consumption <- 0.12;

    init {
        create cell number: nb_cells_init;
    }
}
"
"generate a GAML code snippet for the global section of a model, outlining variables like ""nb_species_init,"" ""species_max_energy,"" ""species_max_transfer,"" and ""species_energy_consumption,"" with an initialization block that creates a specified number of species","
global {
    int nb_species_init <- 80;
    float species_max_energy <- 6.0;
    float species_max_transfer <- 0.6;
    float species_energy_consumption <- 0.18;

    init {
        create species number: nb_species_init;
    }
}
"
"generate a GAML code snippet for the global section of a model, defining variables like ""nb_species_init,"" ""species_max_energy,"" and ""species_type"" with data types ""int,"" ""float,"" and ""string"" respectively, accompanied by an initialization block that creates a specified number of species?","
global {
    int nb_species_init <- 80;
    float species_max_energy <- 6.0;
    string species_type <- ""Mammal"";
    
    init {
        create species number: nb_species_init;
    }
}
"
"generate a GAML code snippet for the global section of a model, specifying variables such as ""species_name"" with data type ""string,"" ""species_max_transfer,"" and ""species_energy_consumption"" with data type ""float,"" accompanied by an initialization block that creates a designated number of species?","
global {
    string species_name <- ""Bird"";
    float species_max_transfer <- 0.6;
    float species_energy_consumption <- 0.18;

    init {
        create species number <- 50;
    }
}
"
"generate a GAML code snippet for the global section of a model, defining variables like ""species_name"" with data type ""string,"" ""species_max_transfer,"" and ""species_energy_consumption"" with data type ""float,"" along with an initialization block that creates a specified number of species?","
global {
    string species_name <- ""Bird"";
    float species_max_transfer <- 0.6;
    float species_energy_consumption <- 0.18;

    init {
        create species number <- 50;
    }
}
"
"generate a GAML code snippet for the global section of a model, specifying variables such as ""nb_species_init"" with data type ""int"" and ""species_family"" with data type ""string,"" accompanied by an initialization block that creates a predetermined number of species","
global {
    int nb_species_init <- 80;
    string species_family <- ""Reptile"";
    
    init {
        create species number: nb_species_init;
    }
}
"
"generate a GAML code snippet for the global section of a model, defining variables such as ""nb_species_init"" with data type ""int"" and ""species_family"" with data type ""string,"" where ""nb_species_init"" is initialized with a random value between 40 and 50, accompanied by an initialization block that creates a specified number of species","
global {
    int nb_species_init <- rnd(40,50);
    string species_family <- ""Reptile"";
    
    init {
        create species number: nb_species_init;
    }
}
"
" generate a GAML code snippet for the global section of a model, defining variables like ""nb_species_init"" with data type ""int"" and ""species_density"" with data type ""float,"" where ""nb_species_init"" is initialized with a random value between 30 and 60, accompanied by an initialization block that creates a specified number of species","
global {
    int nb_species_init <- rnd(30, 60);
    float species_density <- 0.5;
    
    init {
        create species number: nb_species_init;
    }
}
"
"generate a GAML code snippet for the global section of a model, specifying variables such as ""nb_species_init"" with data type ""float"" and ""species_type"" with data type ""string,"" where ""nb_species_init"" is initialized with a random value between 40 and 50, accompanied by an initialization block that creates a specified number of species","
global {
    float nb_species_init <- rnd(40, 50);
    string species_type <- ""Amphibian"";
    
    init {
        create species number: int(nb_species_init);
    }
}
"
"generate a GAML code snippet for the global section of a model, defining variables like ""nb_species_init"" with data type ""float"" and ""species_type"" with data type ""string,"" where ""nb_species_init"" is initialized with a random value between 40 and 50, accompanied by an initialization block that creates a specified number of species?","
global {
    float nb_species_init <- rnd(40, 50);
    string species_type <- ""Amphibian"";
    
    init {
        create species number: int(nb_species_init);
    }
}
"
